地区,所属地域,id,年份,规模以上工业企业平均用工人数（万人）,规模以上工业企业固定资产净值（亿元）,能源投入（万吨标准煤）,工业增加值(亿元),工业废水排放量（万吨）,工业固体废弃物排放量（万吨）,,GML指数,工业绿色全要素生产率
贵州,西部,24,2007,66.62,1771.62,6800,1000.9,12101.085,33.681,,1.242833638,1.753969493
云南,西部,25,2007,82.06,2570.59,7133,1728.3,35352.282,29.027,,1.035843094,1.375913778
陕西,西部,26,2007,124.11,3755,6775,2449.8,48522.758,55.019,,1.106335273,1.94006169
甘肃,西部,27,2007,66.74,1827.76,5109,1070.2,15856.314,18.898,,1.26519678,2.266071607
青海,西部,28,2007,15.56,933.21,2095,207.5,7318.022,12.583,,1.160117259,2.418082996
宁夏,西部,29,2007,25.45,825.41,3077,357.6,21089.041,17.067,,1.176190943,1.634798404
新疆,西部,30,2007,53.79,2513.27,6576,1406.8,20959.519,39.347,,0.982693177,1.835718656
北京,东部,1,2008,123.38,4890.78,6327,2030.8,8367,3.523,,0.992496832,1.504761373
天津,东部,2,2008,133.12,3939.05,5364,2370.2,20433,6.59,,1.103323012,1.986437828
河北,东部,3,2008,316.85,7844.79,24322,6296.9,121172,90.381,,1.041139299,1.578775724
山西,中部,4,2008,214.93,6062.56,15675,4092.3,41150,99.678,,1.160250596,2.281052448
内蒙古,西部,5,2008,104.57,5194.07,14100,2090.6,29167,63.794,,0.988428864,1.398631633
辽宁,东部,6,2008,366.23,9705.4,17801,5706,83073,73.695,,1.033120872,1.478461754
吉林,中部,7,2008,126.99,3551.92,7221,1474.8,38353,32.43,,0.990079964,1.509434822
黑龙江,中部,8,2008,155.99,3909.25,9979,3765.6,38910,49.037,,1.067568191,1.791748347
上海,东部,9,2008,304.01,8109.47,10207,5832,41871,4.862,,1.006272782,1.678749842
江苏,东部,10,2008,1104.06,19144.21,22232,15336,259999,51.154,,0.961859682,1.318916725
浙江,东部,11,2008,814.55,11887.99,15107,10317,200488,33.624,,1.026646296,1.143517854
安徽,中部,12,2008,210.8,4785.98,8325,3238.4,67007,56.391,,1.027186828,1.762496556
福建,东部,13,2008,380.06,4488.86,8254,4676.9,139997,24.6,,1.055846115,1.268874497
江西,中部,14,2008,178.56,3390.15,5383,2936.9,68681,45.781,,0.889991584,2.012176994
山东,东部,15,2008,912.7,16953.17,30570,13310.8,176977,58.793,,1.067050618,1.318620517
河南,中部,16,2008,417.36,8213.51,18976,8687.4,133144,81.894,,1.069179072,1.888384776
湖北,中部,17,2008,235.9,7886.75,12845,4406.9,93687,40.808,,1.042313863,1.628661658
湖南,中部,18,2008,225.55,4096.42,12355,4110.8,92340,86.164,,1.075205711,1.609013807
广东,东部,19,2008,1493.38,16002.09,23476,17356.7,213314,48.312,,1.031766871,1.507826295
广西,西部,20,2008,114.6,2907.16,6497,2088,205745,64.93,,1.004187187,1.542347087
海南,东部,21,2008,12.61,585.58,1135,303.9,5991,1.698,,1.082907467,2.190915782
重庆,西部,22,2008,132.13,2404.27,6472,2188.6,67027,25.428,,0.956001578,1.505034288
四川,西部,23,2008,297.54,6251.91,15145,4912.4,108700,35.93,,1.078171692,1.935613564
贵州,西部,24,2008,73.53,2299.26,7084,1207,11695,27.462,,1.020135208,1.789286033
云南,西部,25,2008,84.34,2757.89,7511,2092.6,32996,27.347,,1.154698024,1.58876492
陕西,西部,26,2008,131.83,4626.96,7417,3122,48477,37.234,,1.11735187,2.167731557
甘肃,西部,27,2008,69.13,2117.66,5346,1197.1,16405,17.376,,1.019565012,2.310407325
青海,西部,28,2008,17.42,1260.26,2279,271.3,7098,13.078,,1.099144847,2.657823465
宁夏,西部,29,2008,25.89,1065.61,3229,476.5,20448,13.717,,1.158909456,1.89458333
新疆,西部,30,2008,57.84,2727.7,7069,1757.9,22875,39.753,,1.162538998,2.134094526
北京,东部,1,2009,120.41,4989.83,6570,2182.6,8712.533,3.64,,1.065265945,1.602971046
天津,东部,2,2009,136.82,4971.19,5874,2478.7,19441.053,6.663,,0.917516649,1.82258978
河北,东部,3,2009,319.94,9920.69,25419,6337.5,110057.998,75.681,,0.880784018,1.390560425
山西,中部,4,2009,211.11,6804.98,15576,3739.8,39720.212,86.602,,0.865838701,1.975023489
内蒙古,西部,5,2009,110.4,6013.96,15344,2345.6,28616.225,48.466,,1.021101773,1.42814524
辽宁,东部,6,2009,386.62,11022.98,19112,5891.6,75158.589,62.837,,0.944400135,1.39625948
吉林,中部,7,2009,137.05,4347.74,7698,1705,37563.483,34.304,,1.016005145,1.533593546
