省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人
53,云南省,2013,4641,1897.14,2789.46
53,云南省,2014,4653,1967.11,2746.79
53,云南省,2015,4663,2054.62,2687.18
53,云南省,2016,4677,2148.38,2622.62
53,云南省,2017,4693,2241.35,2559.15
53,云南省,2018,4703,2309.22,2520.78
53,云南省,2019,4714,2376,2482
53,云南省,2020,4722.22,2363.47,2358.75
53,云南省,2021,4690,2394,2296
53,云南省,2022,4693,2427,2266
53,云南省,2023,4673,2473,2200
53,云南省,2024,4655,2519,2136
54,西藏自治区,2000,258,,
54,西藏自治区,2001,263.55,,
54,西藏自治区,2002,268.24,,
54,西藏自治区,2003,272.16,,
54,西藏自治区,2004,276.35,,
54,西藏自治区,2005,280.31,58.44,221.87
54,西藏自治区,2006,285.08,60.24,224.84
54,西藏自治区,2007,288.83,62.1,226.73
54,西藏自治区,2008,292.33,64.02,228.31
54,西藏自治区,2009,295.84,65.97,229.87
54,西藏自治区,2010,300.22,68.06,232.16
54,西藏自治区,2011,309,68.88,234.42
54,西藏自治区,2012,315,69.98,237.64
54,西藏自治区,2013,317,73.98,238.06
54,西藏自治区,2014,325,81.77,235.78
54,西藏自治区,2015,330,89.87,234.1
54,西藏自治区,2016,340,97.84,233.16
54,西藏自治区,2017,349,104.1,232.9
54,西藏自治区,2018,354,107.12,236.88
54,西藏自治区,2019,361,111,240
54,西藏自治区,2020,365.58,130.62,234.96
54,西藏自治区,2021,366,134,232
54,西藏自治区,2022,364,136,228
54,西藏自治区,2023,365,142,223
54,西藏自治区,2024,370,147,223
61,陕西省,2000,3644,,
61,陕西省,2001,3653.14,,
61,陕西省,2002,3662.24,,
61,陕西省,2003,3671.74,,
61,陕西省,2004,3681.23,,
61,陕西省,2005,3690,1373.79,2316.21
61,陕西省,2006,3699,1447.05,2251.95
61,陕西省,2007,3708,1506.19,2201.81
61,陕西省,2008,3718,1565.28,2152.72
61,陕西省,2009,3727,1621.24,2105.76
61,陕西省,2010,3735,1709.14,2025.86
61,陕西省,2011,3765,1770.44,1972.56
61,陕西省,2012,3787,1877.28,1875.72
